UserId,age_range,gender,profession,education,income_range,geo_zone,household_size,primary_use,smartphone,demo_source
orig_user_111,25-34,Male,Self-Employed,Bachelor,50k-100k,Urban,3,Both,Yes,real
orig_user_112,25-34,Female,Student,Secondary,<50k,Urban,4,Both,Yes,real
orig_user_113,18-24,Female,Student,Bachelor,<50k,Urban,7,Personal,Yes,real
orig_user_114,18-24,Female,Student,Secondary,<50k,Urban,8,Personal,Yes,real
orig_user_115,25-34,Female,Employed,Master,100k-200k,Urban,4,Personal,Yes,real
orig_user_116,25-34,Female,Employed,Secondary,<50k,Urban,3,Both,Yes,real
orig_user_117,18-24,Female,Unemployed,Master,<50k,Urban,1,Personal,Yes,real
orig_user_118,55+,Male,Self-Employed,Secondary,>400k,Urban,4,Both,Yes,real
orig_user_119,45-54,Male,Employed,Bachelor,200k-400k,Suburban,3,Business,Yes,real
orig_user_120,55+,Male,Retired,Master,>400k,Urban,9,Both,Yes,real
anon_user0001,25-34,Female,Self-Employed,Bachelor,<50k,Urban,1,Both,Yes,simulated
anon_user0002,35-44,Male,Retired,Master,<50k,Urban,2,Personal,Yes,simulated
anon_user0003,25-34,Male,Self-Employed,Secondary,<50k,Urban,4,Both,Yes,simulated
anon_user0004,25-34,Female,Student,Bachelor,<50k,Urban,8,Both,Yes,simulated
anon_user0005,25-34,Male,Self-Employed,Bachelor,<50k,Urban,1,Both,Yes,simulated
anon_user0006,35-44,Male,Employed,Bachelor,<50k,Rural,6,Both,No,simulated
anon_user0007,25-34,Female,Student,Secondary,<50k,Urban,4,Personal,Yes,simulated
anon_user0008,25-34,Male,Employed,Secondary,200k-400k,Urban,10,Both,Yes,simulated
anon_user0009,18-24,Female,Self-Employed,Bachelor,100k-200k,Urban,3,Personal,No,simulated
anon_user0010,25-34,Male,Student,Secondary,<50k,Suburban,5,Both,Yes,simulated
anon_user011,18-24,Female,Self-Employed,Bachelor,100k-200k,Urban,4,Personal,Yes,simulated
anon_user012,18-24,Male,Self-Employed,Secondary,50k-100k,Rural,3,Personal,Yes,simulated
anon_user013,18-24,Male,Student,Secondary,>400k,Suburban,5,Both,Yes,simulated
anon_user014,18-24,Female,Employed,Master,200k-400k,Urban,2,Personal,Yes,simulated
anon_user015,35-44,Female,Student,Bachelor,50k-100k,Urban,2,Personal,No,simulated
anon_user016,25-34,Female,Self-Employed,Secondary,>400k,Rural,3,Personal,Yes,simulated
anon_user017,18-24,Male,Self-Employed,Bachelor,<50k,Urban,8,Personal,Yes,simulated
anon_user018,25-34,Female,Student,Bachelor,100k-200k,Urban,5,Personal,Yes,simulated
orig_user_001,25-34,Female,Student,Master,<50k,Urban,1,Business,Yes,simulated
orig_user_002,18-24,Female,Student,Bachelor,<50k,Suburban,4,Both,Yes,simulated
orig_user_003,25-34,Male,Unemployed,Master,<50k,Suburban,6,Business,Yes,simulated
orig_user_004,18-24,Male,Unemployed,Master,100k-200k,Urban,3,Both,No,simulated
orig_user_005,45-54,Female,Self-Employed,Secondary,<50k,Rural,5,Personal,Yes,simulated
orig_user_006,35-44,Male,Student,Bachelor,100k-200k,Suburban,3,Both,Yes,simulated
orig_user_007,25-34,Female,Self-Employed,Master,100k-200k,Urban,2,Personal,Yes,simulated
orig_user_008,18-24,Female,Employed,Master,100k-200k,Suburban,4,Business,Yes,simulated
orig_user_009,18-24,Female,Student,Primary,100k-200k,Urban,8,Both,No,simulated
orig_user_010,25-34,Male,Unemployed,Bachelor,>400k,Rural,7,Personal,Yes,simulated
orig_user_011,45-54,Male,Student,Bachelor,>400k,Suburban,4,Personal,Yes,simulated
orig_user_012,55+,Male,Employed,Master,100k-200k,Suburban,5,Personal,Yes,simulated
orig_user_013,35-44,Female,Unemployed,Master,50k-100k,Urban,6,Business,Yes,simulated
orig_user_014,35-44,Female,Employed,Secondary,<50k,Urban,1,Personal,Yes,simulated
orig_user_015,18-24,Female,Student,Primary,200k-400k,Urban,2,Business,Yes,simulated
orig_user_016,18-24,Female,Student,Secondary,50k-100k,Urban,5,Both,No,simulated
orig_user_017,25-34,Male,Self-Employed,Secondary,50k-100k,Urban,1,Both,Yes,simulated
orig_user_018,35-44,Male,Student,Secondary,<50k,Urban,5,Both,Yes,simulated
orig_user_019,55+,Female,Employed,Bachelor,50k-100k,Urban,3,Both,Yes,simulated
orig_user_020,18-24,Male,Student,Master,100k-200k,Urban,2,Personal,Yes,simulated
orig_user_021,18-24,Male,Employed,Bachelor,100k-200k,Urban,3,Business,Yes,simulated
orig_user_022,45-54,Female,Student,Secondary,100k-200k,Urban,5,Both,Yes,simulated
orig_user_023,25-34,Female,Employed,Bachelor,>400k,Urban,9,Both,Yes,simulated
orig_user_024,18-24,Male,Student,Secondary,100k-200k,Urban,3,Both,Yes,simulated
orig_user_025,35-44,Male,Student,Bachelor,100k-200k,Rural,6,Both,Yes,simulated
orig_user_026,18-24,Female,Self-Employed,Master,50k-100k,Urban,6,Personal,No,simulated
orig_user_027,45-54,Male,Self-Employed,Bachelor,<50k,Rural,4,Both,Yes,simulated
orig_user_028,45-54,Male,Student,Master,<50k,Urban,9,Both,Yes,simulated
orig_user_029,25-34,Male,Student,Secondary,100k-200k,Suburban,6,Both,Yes,simulated
orig_user_030,25-34,Male,Employed,Bachelor,200k-400k,Urban,2,Personal,Yes,simulated
orig_user_031,25-34,Male,Student,Bachelor,<50k,Suburban,5,Personal,Yes,simulated
orig_user_032,55+,Male,Employed,Master,>400k,Rural,6,Personal,Yes,simulated
orig_user_033,35-44,Female,Employed,Master,<50k,Urban,1,Personal,Yes,simulated
orig_user_034,18-24,Male,Self-Employed,Bachelor,50k-100k,Rural,3,Personal,No,simulated
orig_user_035,18-24,Female,Student,Master,<50k,Rural,4,Both,Yes,simulated
