UserId,txn_count,mean_amount,median_amount,std_amount,total_in,total_out,avg_balance,pct_weekend,avg_sr_ratio,pct_airtime,pct_depot,pct_paiement,pct_retrait,pct_transaction,pct_transfert,pct_out,avg_hour,std_hour,activity_class,age_range,gender,profession,education,income_range,geo_zone,household_size,primary_use,smartphone,demo_source,age_ordinal,education_ordinal,income_ordinal,gender_binary,smartphone_binary,prof_Retired,prof_Self-Employed,prof_Student,prof_Unemployed,geo_Suburban,geo_Urban,use_Business,use_Personal,target
anon_user0001,54,108641.57407407407,53992.0,120208.07303087549,3825111.0,2041534.0,260804.14814814812,0.3148148148148148,1.3675453035510656,0.0,0.0,0.2592592592592592,0.0,0.3333333333333333,0.4074074074074074,0.5925925925925926,11.055555555555555,6.614497133346119,Low,25-34,Female,Self-Employed,Bachelor,<50k,Urban,1,Both,Yes,simulated,2,3,1,0,1,False,True,False,False,False,True,False,False,1
anon_user0002,56,147522.625,122466.5,125679.55921911632,4118942.0,4142325.0,252197.0357142857,0.1785714285714285,1.365709219447195,0.0,0.0,0.3928571428571428,0.0,0.2321428571428571,0.375,0.625,10.285714285714286,7.295613341315042,Medium,35-44,Male,Retired,Master,<50k,Urban,2,Personal,Yes,simulated,3,4,1,1,1,True,False,False,False,False,True,False,True,2
anon_user0003,65,109021.95384615385,76436.0,111538.14003786872,3258996.0,3827431.0,236012.53846153847,0.3846153846153846,2.7219982782426224,0.0,0.0,0.3538461538461538,0.0,0.3692307692307692,0.2769230769230769,0.7230769230769231,11.830769230769231,7.28347708594861,Medium,25-34,Male,Self-Employed,Secondary,<50k,Urban,4,Both,Yes,simulated,2,2,1,1,1,False,True,False,False,False,True,False,False,2
anon_user0004,54,96911.22222222222,61464.5,104776.52152470803,2655170.0,2578036.0,251558.9814814815,0.2222222222222222,2.578197651114317,0.0,0.0,0.3148148148148148,0.0,0.3888888888888889,0.2962962962962963,0.7037037037037037,11.425925925925926,7.048623181099019,Low,25-34,Female,Student,Bachelor,<50k,Urban,8,Both,Yes,simulated,2,3,1,0,1,False,False,True,False,False,True,False,False,1
anon_user0005,53,98788.43396226416,67199.0,99626.84544521998,2109117.0,3126670.0,254809.09433962265,0.2830188679245283,1.6903720601140135,0.0,0.0,0.3396226415094339,0.0,0.320754716981132,0.3396226415094339,0.660377358490566,12.11320754716981,6.617751120917398,Low,25-34,Male,Self-Employed,Bachelor,<50k,Urban,1,Both,Yes,simulated,2,3,1,1,1,False,True,False,False,False,True,False,False,1
anon_user0006,57,128439.43859649122,112878.0,110338.8809899202,3022936.0,4298112.0,262759.4736842105,0.2456140350877192,1.835984616518672,0.0,0.0,0.4035087719298245,0.0,0.2807017543859649,0.3157894736842105,0.6842105263157895,12.31578947368421,5.889330227310725,Medium,35-44,Male,Employed,Bachelor,<50k,Rural,6,Both,No,simulated,3,3,1,1,0,False,False,False,False,False,False,False,False,2
anon_user0007,52,120034.3846153846,86904.5,120604.7734079806,4374511.0,1867277.0,235980.88461538465,0.2692307692307692,1.1891448637188111,0.0,0.0,0.2115384615384615,0.0,0.3269230769230769,0.4615384615384615,0.5384615384615384,10.73076923076923,6.3187097982364095,Low,25-34,Female,Student,Secondary,<50k,Urban,4,Personal,Yes,simulated,2,2,1,0,1,False,False,True,False,False,True,False,True,1
anon_user0008,50,115334.38,81487.5,113574.04654572724,2763363.0,3003356.0,253927.24,0.34,3.7837838272838273,0.0,0.0,0.42,0.0,0.32,0.26,0.74,11.24,6.601051245901701,Low,25-34,Male,Employed,Secondary,200k-400k,Urban,10,Both,Yes,simulated,2,2,4,1,1,False,False,False,False,False,True,False,False,1
anon_user0009,56,108106.53571428572,77955.5,108999.09712035806,2289837.0,3764129.0,224779.5,0.2321428571428571,3.6400065708101423,0.0,0.0,0.4285714285714285,0.0,0.3571428571428571,0.2142857142857142,0.7857142857142857,10.803571428571429,7.699869285448098,Medium,18-24,Female,Self-Employed,Bachelor,100k-200k,Urban,3,Personal,No,simulated,1,3,3,0,0,False,True,False,False,False,True,False,True,2
anon_user0010,50,114637.78,77380.5,116776.5460941764,2747172.0,2984717.0,260493.24,0.22,2.3706009741892093,0.0,0.0,0.28,0.0,0.38,0.34,0.66,12.32,6.38697654510764,Low,25-34,Male,Student,Secondary,<50k,Suburban,5,Both,Yes,simulated,2,2,1,1,1,False,False,True,False,True,False,False,False,1
